Film,Year,URL Encoded name,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link,Location Display Text,LATITUDE,LONGITUDE,Borough,Neighborhood,Scene Type,Media,IMDB LINK,Client or book location indicator,Notes,Book Image,Book Page,Display?,IMAGE OF LOCATION,ratings,Awards,Box Office,Director,Genre,Language,Plot,Poster,Rated,Runtime,imdbID,imdbVotes
Hannah and Her Sisters,1986,Hannah%20and%20Her%20Sisters,0,0,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,Metro Theatre (2626 Broadway)<br>Upper West Side<br>Manhattan,40.796766,-73.96994699999998,Manhattan,Upper West Side,0,Film,http://www.imdb.com/title/tt0091167/,"Metro Theatre, 101st and Broadway",0,Y,241,0,N,7.9,Won 3 Oscars. Another 24 wins & 26 nominations.,"$40,084,041",Woody Allen,"Comedy, Drama",0.0,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",https://m.media-amazon.com/images/M/MV5BMWZiNWUwYjMtM2Y1Yi00MTZmLWEwYzctNjVmYWM0OTFlZDFhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,PG-13,107 min,tt0091167,"66,701"
Heights,2005,Heights,Heights_ec,"Courtesy of Everett Collection, Inc.",Directed by,Chris Terrio,http://imdb.com/name/nm0006516/,Municipal Building<br>1 Centre St.<br>Lower Manhattan,40.71302062,-74.00337517,Manhattan,Lower Manhattan,Rooftops,Film,http://imdb.com/title/tt0382073/,Municipal Building,0,Y,232,0,Y,6.9,1 win & 1 nomination.,"$1,160,817",Chris Terrio,"Drama, Romance",0.0,"Spanning twenty-four hours, Heights follows five New Yorkers challenged to choose their destiny before the sun comes up the next day.",https://m.media-amazon.com/images/M/MV5BMjEwODU5ODkxOV5BMl5BanBnXkFtZTYwNzA1ODA3._V1_SX300.jpg,R,93 min,tt0382073,"4,519"
Hitch,2005,Hitch,0,0,Directed by,Andy Tennant,http://imdb.com/name/nm0855035/,Spring St. and Greene St.<br>SoHo<br>Manhattan,40.7238,-74.0004,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0386588/,"Greene and Spring Streets, SoHo",0,Y,226,0,N,6.6,4 wins & 24 nominations.,"$179,495,555",Andy Tennant,"Comedy, Romance",0.0,A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.,https://m.media-amazon.com/images/M/MV5BNzYyNzM2NzM2NF5BMl5BanBnXkFtZTcwNjg5NTQzMw@@._V1_SX300.jpg,PG-13,118 min,tt0386588,"294,306"
I Like It Like That,1994,I%20Like%20It%20Like%20That,ILikeitLikeThat_pf,Courtesy of Photofest,Directed by,Darnell Martin,http://imdb.com/name/nm0552140/,170th St. in Morrisania<br>The Bronx,40.83870044,-73.91373038,The Bronx,The Bronx,The Subway,Film,http://www.imdb.com/title/tt0110091/,170th Street in Morrisania,Additional Image p193,Y,129,0,Y,6.9,1 win & 5 nominations.,"$1,760,527",Darnell Martin,"Comedy, Drama, Romance",0.0,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino...",https://m.media-amazon.com/images/M/MV5BZjRkNjJkNmItZTkwZC00NDI1LTg1NWItY2E5NTg4MmFkZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,R,104 min,tt0110091,"1,507"
I Shot Andy Warhol,1996,I%20Shot%20Andy%20Warhol,IShotAndyWarhol_pf,Courtesy of Photofest,Directed by,Mary Harron,http://www.imdb.com/name/nm0366004/,W. 20th St. <br>Chelsea<br>Manhattan,40.74053466,-73.99303257,Manhattan,Chelsea,0,Film,http://www.imdb.com/title/tt0116594/,West 20th bet Fifth and Sixth Ave,0,Y,248,0,Y,6.6,5 wins & 7 nominations.,N/A,Mary Harron,"Biography, Drama",0.0,"This is the story of Valerie Solanas who was a 60s radical preaching hatred toward men in her ""Scum"" manifesto. She wrote a screenplay for a film that she wanted Andy Warhol to produce. After many times of ignoring her, Valerie shot him.",https://m.media-amazon.com/images/M/MV5BNWJkZTI3ZGUtOWQ3Ni00Y2Y5LTgxYWEtODQ4Yjg4M2ZmMWQ3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,R,103 min,tt0116594,"6,278"
Inside Man,2006,Inside%20Man,0,0,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,William St. and Wall St.<br>Lower Manhattan,40.7064,-74.0095,Manhattan,Lower Manhattan,0,Film,http://imdb.com/title/tt0454848/,William Street toward Wall Street,0,Y,249,0,N,7.6,6 wins & 11 nominations.,"$88,513,495",Spike Lee,"Crime, Drama, Mystery, Thriller",0.0,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",https://m.media-amazon.com/images/M/MV5BYjc4MjA2ZDgtOGY3YS00NDYzLTlmNTEtYWMxMzcwZjgzYWNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,129 min,tt0454848,"335,484"
It Could Happen to You,1994,It%20Could%20Happen%20to%20You,ItCouldHappentoYou2_ec,"Courtesy of Everett Collection, Inc.",Directed by,Andrew Bergman,http://imdb.com/name/nm0000921/,W. Broadway and N. Moore St.<br>TriBeCa<br>Manhattan,40.7197,-74.0059,Manhattan,TriBeCa,0,Film,http://www.imdb.com/title/tt0110167/,West Broadway and North Moore Street,There is also a diner photo,Y,191,0,Y,6.4,N/A,"$37,939,757",Andrew Bergman,"Comedy, Drama, Romance",0.0,A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,https://m.media-amazon.com/images/M/MV5BYzMxOGUzOWEtMGUxMi00ZWM1LWE3ODgtNzc4OGVjZmJhMmFmXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,PG,101 min,tt0110167,"35,534"
Jeremy,1973,Jeremy,Jeremy_ec,"Courtesy of Everett Collection, Inc.",Directed by,Arthur Barron,http://imdb.com/name/nm0057634/,Central Park<br>Manhattan,40.77474873,-73.97250831,Manhattan,Central Park,0,Film,http://www.imdb.com/title/tt0070238/,Central Park,0,Y,108,0,Y,6.9,Nominated for 1 Golden Globe. Another 1 win & 1 nomination.,N/A,Arthur Barron,"Drama, Music, Romance",0.0,"Shy cellist boy meets upperclassman ballet dancing girl at school. They experience first-time love, then happenstance pulls them apart.",https://m.media-amazon.com/images/M/MV5BMTQ3OGRjYTQtMWI3YS00ZjQ2LWE2M2EtYWUyMjFlNTUzZDY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,PG,90 min,tt0070238,698
Jungle Fever,1991,Jungle%20Fever,JungleFever_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Bensonhurst<br>Brooklyn,40.6019,-73.9938,Brooklyn,Brooklyn,New York Moments,Film,http://www.imdb.com/title/tt0102175/,Bensonhurst,Not sure if this the correct photo,Y,203,0,Y,6.6,6 wins & 9 nominations.,"$32,482,682",Spike Lee,"Drama, Romance",0.0,Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,https://m.media-amazon.com/images/M/MV5BMjM5MTQxMDk2Ml5BMl5BanBnXkFtZTgwODQ2MDc3NjE@._V1_SX300.jpg,R,132 min,tt0102175,"16,931"
Jungle Fever,1991,Jungle%20Fever,JungleFever2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,Strivers' Row<br>Harlem<br>Manhattan,40.81803961,-73.94421637,Manhattan,Harlem,0,Film,0,"Strivers' Row, 138th st bet Powell and Douglass blvds",slide,N,0,0,Y,6.6,6 wins & 9 nominations.,"$32,482,682",Spike Lee,"Drama, Romance",0.0,Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,https://m.media-amazon.com/images/M/MV5BMjM5MTQxMDk2Ml5BMl5BanBnXkFtZTgwODQ2MDc3NjE@._V1_SX300.jpg,R,132 min,tt0102175,"16,931"
Kids,1995,Kids,0,0,Directed by,Larry Clark,http://imdb.com/name/nm0164187/,Washington Square Park<br>West Village<br>Manhattan,40.7310719,-73.99686277,Manhattan,West Village,0,Film,http://www.imdb.com/title/tt0113540/,Washington Square Park,0,Y,79,0,N,7.1,1 win & 5 nominations.,"$7,412,216",Larry Clark,Drama,0.0,"A day in the life of a group of teens as they travel around New York City skating, drinking, smoking and deflowering virgins.",https://m.media-amazon.com/images/M/MV5BNTNmN2QyNTgtMTk0ZC00NmFhLWJlNzctZmMyYTczZTYyMzA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Unrated,91 min,tt0113540,"72,651"
Killer's Kiss,1957,Killer%27s%20Kiss,KillersKiss_ec,Courtesy of Photofest,Directed by,Stanley Kubrick,http://imdb.com/name/nm0000040/,Rooftops<br>Lower Manhattan,40.70821425,-74.01365876,Manhattan,Lower Manhattan,0,Film,http://imdb.com/title/tt0048254/,Rooftops of lower Manhattan,0,Y,44,0,Y,6.6,1 win.,N/A,Stanley Kubrick,"Crime, Drama, Film-Noir, Thriller",0.0,"Ready to catch a train to his hometown, a washed-up boxer tells us about the strange and twisty events that happened to him the past couple of days.",https://m.media-amazon.com/images/M/MV5BYjA2MDcyZjUtMWNiZS00ZDgyLTkyNjAtYmIzZGZjYzYyNWNiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,Not Rated,67 min,tt0048254,"21,168"
King Kong,1976,King%20Kong,KingKong_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Guillermin,http://imdb.com/name/nm0347086/,World Trade Center<br>Lower Manhattan,40.71254894,-74.01477993,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0074751/,World Trade Center,0,Y,90-91,0,Y,7.2,Won 3 Oscars. Another 43 wins & 102 nominations.,"$218,080,025",Peter Jackson,"Action, Adventure, Drama, Romance",0.0,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",https://m.media-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,187 min,tt0360717,"388,116"
Kissing Jessica Stein,2001,Kissing%20Jessica%20Stein,kissing_jessica_st4_pf,Courtesy of Photofest,Directed by,Charles Herman-Wurmfeld,http://imdb.com/name/nm0379237/,E. 6th St.<br>East Village<br>Manhattan,40.7255,-73.984,Manhattan,East Village,0,Film,http://www.imdb.com/title/tt0264761/,East 6th Street,0,Y,210,0,Y,6.4,8 wins & 3 nominations.,N/A,Charles Herman-Wurmfeld,"Comedy, Drama, Romance",0.0,A woman searching for the perfect man instead discovers the perfect woman.,https://m.media-amazon.com/images/M/MV5BMGZkYWY5NzEtZmYwYi00NGMyLWEyZjAtMjQ4NTZjNzQ3NGMzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,97 min,tt0264761,"15,765"
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,World Trade Center<br>Lower Manhattan,40.71126402,-74.01129305,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0067309/,World Trade Center,0,Y,89,0,N,7.1,Won 1 Oscar. Another 8 wins & 5 nominations.,N/A,Alan J. Pakula,"Crime, Mystery, Thriller",0.0,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,https://m.media-amazon.com/images/M/MV5BYzViZWY5YjQtNGIzMC00MWVkLTgwYjctY2JjZGEzYjY3Njg4XkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_SX300.jpg,R,114 min,tt0067309,"22,100"
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,Hell's Kitchen<br>Ninth Ave.<br>Manhattan,40.76160968,-73.99031281,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0067309/,Ninth Avenue in the 40s,0,Y,104,0,N,7.1,Won 1 Oscar. Another 8 wins & 5 nominations.,N/A,Alan J. Pakula,"Crime, Mystery, Thriller",0.0,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,https://m.media-amazon.com/images/M/MV5BYzViZWY5YjQtNGIzMC00MWVkLTgwYjctY2JjZGEzYjY3Njg4XkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_SX300.jpg,R,114 min,tt0067309,"22,100"
Klute,1971,Klute,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/,123rd St.<br>Harlem<br>Manhattan,40.80091344,-73.93336952,Manhattan,Harlem,0,Film,http://www.imdb.com/title/tt0067309/,123rd Street near First Avenue,Additional Image on p88 of the book,Y,62,0,Y,7.1,Won 1 Oscar. Another 8 wins & 5 nominations.,N/A,Alan J. Pakula,"Crime, Mystery, Thriller",0.0,A small-town detective searching for a missing man has only one lead: a connection with a New York prostitute.,https://m.media-amazon.com/images/M/MV5BYzViZWY5YjQtNGIzMC00MWVkLTgwYjctY2JjZGEzYjY3Njg4XkEyXkFqcGdeQXVyMzU4ODM5Nw@@._V1_SX300.jpg,R,114 min,tt0067309,"22,100"
Kojak,1973-1978,Kojak,Kojak_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",60 Baxter St.<br>Lower Manhattan,40.715847,-74.000547,Manhattan,Lower Manhattan,0,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,0,Y,7.1,Won 3 Golden Globes. Another 9 wins & 22 nominations.,0,N/A,"Action, Crime, Drama, Mystery, Thriller",0.0,"A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city.",https://m.media-amazon.com/images/M/MV5BNzFkNjk2OGEtZjI0Zi00ZWMwLWE3MGItM2VjMzhmNTVjNTMzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,TV-PG,60 min,tt0069599,"6,143"
Kojak,1973-1978,Kojak,Kojak2_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers",Lincoln Center<br>Upper West Side<br>Manhattan,40.77240875,-73.98376286,Manhattan,Upper West Side,0,TV,http://imdb.com/title/tt0069599/,Lincoln Center,Unusable need rescan,Y,257,0,Y,7.1,Won 3 Golden Globes. Another 9 wins & 22 nominations.,0,N/A,"Action, Crime, Drama, Mystery, Thriller",0.0,"A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city.",https://m.media-amazon.com/images/M/MV5BNzFkNjk2OGEtZjI0Zi00ZWMwLWE3MGItM2VjMzhmNTVjNTMzXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,TV-PG,60 min,tt0069599,"6,143"
Kramer vs. Kramer,1979,Kramer%20vs%2E%20Kramer,Kramervskramer_pf,Courtesy of Photofest,Directed by,Robert Benton,http://imdb.com/name/nm0000914/,P.S. 6 (45 E. 81st St.)<br>Upper East Side<br>Manhattan,40.777554,-73.96069399999998,Manhattan,Upper East Side,0,Film,http://www.imdb.com/title/tt0079417/,P.S. 6 - Madison Avenue and 81st street,0,Y,157,0,Y,7.8,Won 5 Oscars. Another 34 wins & 25 nominations.,"$106,260,000",Robert Benton,Drama,0.0,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",https://m.media-amazon.com/images/M/MV5BNDM3YjNlYmMtOGY3NS00MmRjLWIyY2UtNDA0MWM3OTNlZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,105 min,tt0079417,"132,176"
Law & Order,1988- Today,Law%20%26%20Order,LawandOrder1_pf,Courtesy of Photofest,Created by,"Dick Wolf,(more)","http://imdb.com/name/nm0937725/,http://imdb.com/title/tt0098844/fullcredits#writers",Worth St.<br>Lower Manhattan,40.7171,-74.0063,Manhattan,Lower Manhattan,0,TV,http://imdb.com/title/tt0098844/,"2 locations:
- Central Park
- Worth Street",0,Y,258-259,0,Y,7.4,3 wins & 5 nominations.,"$73,357,727",F. Gary Gray,"Action, Crime, Drama, Thriller",0.0,A frustrated man decides to take justice into his own hands after a plea bargain sets one of his family's killers free.,https://m.media-amazon.com/images/M/MV5BNTQ1NmZlNDktZTg0NS00ZjNhLTk5M2QtNzExNjUzY2MwMjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,R,109 min,tt1197624,"269,857"
Little Fugitive,1953,Little%20Fugitive,LittleFugative_pf,Courtesy of Photofest,Directed by,"Morris Engel,Ruth Orkin,(more)","http://imdb.com/name/nm0257129/,http://imdb.com/name/nm0257129/,http://imdb.com/title/tt0046004/fullcredits#directors",Coney Island<br>Brooklyn,40.57463602,-73.98080707,Brooklyn,Brooklyn,0,Film,http://imdb.com/title/tt0046004/,Coney Island,0,Y,45,0,Y,7.5,Nominated for 1 Oscar. Another 4 wins & 2 nominations.,"$29,505","Ray Ashley, Morris Engel, Ruth Orkin","Drama, Family",0.0,"A young boy fears that he shot his older brother, who is only faking. He then runs away to Coney Island, a crowded beach area, and gets money by returning soda bottles for their deposits.",https://m.media-amazon.com/images/M/MV5BMTg0OTU0NTIwN15BMl5BanBnXkFtZTcwMjY0NTEyMQ@@._V1_SX300.jpg,Not Rated,80 min,tt0046004,"2,482"
Little Manhattan,2005,Little%20Manhattan,LittleManhattan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mark Levin,http://imdb.com/name/nm0505662/,Christopher St. Station<br>Sheridan Square<br>Manhattan,40.73360844,-74.00279582,Manhattan,West Village,The Subway,Film,http://www.imdb.com/title/tt0412922/,Sheridan Square/Christopher Street Station,0,Y,193,0,Y,7.5,N/A,"$385,373",Mark Levin,"Comedy, Family, Romance",0.0,A 10-year-old boy and an 11-year-old girl find love in New York City.,https://m.media-amazon.com/images/M/MV5BMTg3NzEzNzE0N15BMl5BanBnXkFtZTcwNjMxMjEzMQ@@._V1_SX300.jpg,PG,90 min,tt0412922,"22,518"
LUV,1967,LUV,Luv_pf,Courtesy of Photofest,Directed by,Clive Donner,http://imdb.com/name/nm0232795/,Manhattan Bridge<br>Brooklyn,40.70507488,-73.98961008,Brooklyn,Brooklyn,0,Film,http://www.imdb.com/title/tt0061927/,Manhattan Bridge,poor quality,Y,54,0,Y,6.0,1 win & 4 nominations.,"$156,996",Sheldon Candis,"Crime, Drama",0.0,An 11-year-old boy gets a crash course in what it means to be a man when he spends a day with the ex-convict uncle he idolizes.,https://m.media-amazon.com/images/M/MV5BMTY2MjEzNDIzNV5BMl5BanBnXkFtZTcwMzkyMTQ0OA@@._V1_SX300.jpg,R,94 min,tt1907707,"2,054"
Mad Hot Ballroom,2005,Mad%20Hot%20Ballroom,MadHotBallroom_ec,"Courtesy of Everett Collection, Inc.",Directed by,Marilyn Agrelo,http://imdb.com/name/nm1802009/,Washington Heights<br>Harlem<br>Manhattan,40.83228774,-73.94633532,Manhattan,Harlem,0,Film,http://www.imdb.com/title/tt0438205/,Washington Heights,0,Y,245,0,Y,7.3,8 wins & 9 nominations.,N/A,Marilyn Agrelo,"Documentary, Family, Music",0.0,The students of several New York City elementary schools learn ballroom dancing and compete in a city wide dance competition.,https://m.media-amazon.com/images/M/MV5BNmI4NTdiYjYtMTk2OS00ZTliLTkyMjMtYTNkMzJhZTM2MTBkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG,105 min,tt0438205,"3,326"
Malcolm X,1992,Malcolm%20X,MalcolmX_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/,"Adjacent to Apollo Theater,<br>W. 125th St. between 7th and 8th Aves<br>Harlem, Manhattan",40.810038,-73.95045,Manhattan,Harlem,0,Film,http://www.imdb.com/title/tt0104797/,"Adjacent to Apollo Theater, 125th Street bet 7th and 8th Aves",0,Y,102-103,0,Y,7.7,Nominated for 2 Oscars. Another 19 wins & 22 nominations.,"$48,169,910",Spike Lee,"Biography, Drama, History",0.0,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",https://m.media-amazon.com/images/M/MV5BZDkzOTFmMTUtMmI2OS00MDE4LTg5YTUtODMwNDMzNmI5OGYwL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,202 min,tt0104797,"84,903"
Man Push Cart,2005,Man%20Push%20Cart,0,0,Directed by,Ramin Bahrani,http://imdb.com/name/nm1023919/,Midtown<br>Manhattan,40.7552,-73.9733,Manhattan,Midtown,0,Film,http://imdb.com/title/tt0464105/,0,0,Y,245,N,N,7.0,8 wins & 9 nominations.,N/A,Ramin Bahrani,Drama,0.0,A night in the life of a former Pakistani rock star who now sells coffee from his push cart on the streets of Manhattan.,https://m.media-amazon.com/images/M/MV5BMWRhY2E0YWItZWE1Ni00MWQ5LTk3YjItNmU0NDYwYWY5Y2FhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Not Rated,87 min,tt0464105,"2,933"
Manhattan,1979,Manhattan,Manhattan_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/,MoMA<br>W. 53rd St.<br>Manhattan,40.76113835,-73.97720218,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0079522/,"MoMA, 53rd St bet 5th and 6th Aves",Additional image p116,Y,123,0,Y,7.9,Nominated for 2 Oscars. Another 15 wins & 22 nominations.,"$39,946,780",Woody Allen,"Comedy, Drama, Romance",0.0,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,https://m.media-amazon.com/images/M/MV5BMzdmY2I3MmEtOGFiZi00MTg1LWIxY2QtNWUwM2NmNWNlY2U5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,R,96 min,tt0079522,"130,863"
Marty,1955,Marty,Marty_pf,Courtesy of Photofest,Directed by,Delbert Mann,http://imdb.com/name/nm0542720/,The Bronx,40.839742,-73.880923,The Bronx,The Bronx,0,Film,http://imdb.com/title/tt0048356/,Bronx store,0,Y,40,0,Y,7.7,Won 4 Oscars. Another 15 wins & 6 nominations.,N/A,Delbert Mann,"Drama, Romance",0.0,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.,https://m.media-amazon.com/images/M/MV5BMDhjZjAzZTktMTY0MC00ZTVhLWE4NDQtZjIyN2JiYjZlMjU0XkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg,Not Rated,90 min,tt0048356,"21,102"
McCloud,1970-1977,McCloud,Mccloud_ec,"Courtesy of Everett Collection, Inc.",Directed by,"Lou Antonio,Jack Arnold,(more)","http://imdb.com/name/nm0031398/,http://imdb.com/name/nm0000791/,http://imdb.com/title/tt0065317/fullcredits#writers",Manhattan,40.75728631,-74.00074124,Manhattan,Midtown,0,TV,http://imdb.com/title/tt0065317/,0,0,Y,256,N,Y,6.9,Nominated for 6 Primetime Emmys. Another 1 win & 4 nominations.,0,N/A,"Action, Crime, Drama, Mystery, Thriller",0.0,"Sam McCloud is a Marshal from Taos, New Mexico, who takes a temporary assignment in the New York City Police Department. His keen sense of detail and detecting subtle clues, learned from ...",https://m.media-amazon.com/images/M/MV5BMDRlMTJkMzctZGZmNi00ZDJhLTg5MDctY2JkNjM3OGJjNGJjXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg,TV-PG,120 min,tt0065317,"2,634"
Mean Streets,1973,Mean%20Streets,0,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/,Hester St. and Baxter St.<br>Little Italy<br>Manhattan,40.7185,-73.9988,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0070379/,Hester and Baxster Streets,0,Y,186,0,N,7.2,5 wins & 5 nominations.,"$32,645",Martin Scorsese,"Crime, Drama, Thriller",0.0,A small-time hood tries to keep the peace between his friend Johnny and Johnny's creditors.,https://m.media-amazon.com/images/M/MV5BMWNmNGY3ZGMtYWQ3OC00Zjg4LWFiN2EtZjM2MDI1YzRiNjg3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,112 min,tt0070379,"99,406"
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Battery Park<br>Lower Manhattan,40.70435915,-74.01472628,Manhattan,Lower Manhattan,0,Film,http://www.imdb.com/title/tt0119654/,Battery Park,0,Y,132,0,N,7.3,Won 1 Oscar. Another 21 wins & 39 nominations.,"$250,690,539",Barry Sonnenfeld,"Action, Adventure, Comedy, Sci-Fi",0.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,98 min,tt0119654,"512,782"
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,MacDougal St.<br>SoHo<br>Manhattan,40.73164913,-73.99913192,Manhattan,SoHo,0,Film,http://www.imdb.com/title/tt0119654/,"MacDougle Street, SoHo", JAMES CROSSED OUT,Y,132,0,N,7.3,Won 1 Oscar. Another 21 wins & 39 nominations.,"$250,690,539",Barry Sonnenfeld,"Action, Adventure, Comedy, Sci-Fi",0.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,98 min,tt0119654,"512,782"
Men in Black,1997,Men%20in%20Black,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/,Grand Central Station<br>87 E. 42nd St.<br>Manhattan,40.752412,-73.977979,Manhattan,Midtown,0,Film,http://www.imdb.com/title/tt0119654/,Grand Central Station - 42nd Street, JAMES CROSSED OUT,Y,132,0,N,7.3,Won 1 Oscar. Another 21 wins & 39 nominations.,"$250,690,539",Barry Sonnenfeld,"Action, Adventure, Comedy, Sci-Fi",0.0,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,https://m.media-amazon.com/images/M/MV5BOTlhYTVkMDktYzIyNC00NzlkLTlmN2ItOGEyMWQ4OTA2NDdmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,PG-13,98 min,tt0119654,"512,782"
